,Player,Year,Age,MP,G,FGA,Load,Pts/75,rTS%,Box Creation,Passer Rating,Spacing,cTOV%,ScoreVal,PlayVal,FTA/100,FT%,3p Pro,rORB%,rDREB%,OBPM,BPM,IA Pts/75,IA PPG,IA APG,IA RPG,allStar,1stAS_yr,yr2AS
569,John Battle,1986,23.0,639,64,16.7,29.4,15.6,-0.023,3.4,4.5,72.0,0.11900000000000001,-0.7,-0.2,7.7,0.73,0.0,-4.4,-4.9,-1.3,-2.1,16.0,4.3,1.1,1.0,0,,
570,John Block,1968,23.0,1805,52,19.0,29.5,17.2,0.006999999999999999,1.0,1.8,90.0,0.149,0.2,-0.9,8.7,0.8,,1.7,6.8,-0.7,-1.3,19.4,16.7,1.3,6.5,1,1973.0,5.0
571,John Drew,1975,20.0,2289,78,24.2,38.0,21.3,-0.011000000000000001,0.2,2.8,75.0,0.12300000000000001,0.4,-0.8,10.8,0.71,,8.4,7.7,1.0,-0.4,23.7,17.1,1.6,8.7,1,1976.0,1.0
572,John Gianelli,1973,22.0,516,52,15.2,21.7,11.8,-0.02,0.8,3.2,84.0,0.136,-0.2,-0.7,2.9,0.7,,2.4,5.5,-0.9,-0.9,13.6,3.2,0.4,2.3,0,,
573,John Havlicek,1963,22.0,2200,80,18.7,27.2,14.7,-0.013000000000000001,1.4,3.7,74.0,0.111,0.2,-0.3,4.1,0.73,,-1.1,-0.5,-0.1,1.0,17.3,11.9,2.1,3.9,1,1966.0,3.0
574,John Johnson,1971,23.0,2310,67,19.5,34.4,15.7,-0.023,2.5,5.0,82.0,0.142,-0.6,0.0,5.6,0.81,,-1.4,1.2,-0.1,-1.6,17.2,14.2,4.2,5.0,1,1971.0,0.0
575,John Long,1979,22.0,2498,82,22.2,29.1,17.7,-0.032,1.5,3.1,82.0,0.086,0.0,-0.6,3.4,0.83,0.0,-1.5,-7.4,-1.0,-1.5,18.8,14.8,1.3,3.0,0,,
576,John Lucas,1977,23.0,2531,82,15.3,30.5,12.8,0.001,3.6,6.3,78.0,0.134,-0.1,0.8,3.2,0.79,,-3.9,-6.8,0.9,0.2,14.0,11.1,5.5,2.4,0,,
577,John Mengelt,1972,22.0,1438,78,18.3,32.1,17.8,0.042,2.9,3.4,82.0,0.13699999999999998,0.4,-0.3,7.6,0.83,,-3.1,-6.8,0.2,-0.7,19.9,8.6,1.6,1.4,0,,
579,John Salley,1987,22.0,1463,82,9.4,16.1,10.5,0.052000000000000005,1.1,3.1,74.0,0.149,-0.4,-0.9,5.6,0.61,0.0,1.5,0.1,-0.6,1.7,10.7,4.9,0.6,3.4,0,,
580,John Salmons,2003,23.0,504,64,12.1,21.8,10.3,-0.017,1.5,5.5,103.0,0.13699999999999998,-1.2,-0.5,3.6,0.74,0.3,-2.0,-4.1,-0.9,-1.7,10.9,2.1,0.7,0.9,0,,
581,John Shumate,1976,23.0,1046,32,10.7,20.3,12.4,0.11,1.1,2.9,74.0,0.187,1.9,-1.1,6.0,0.68,,1.8,7.7,0.0,1.6,34.7,22.9,3.3,13.3,0,,
582,John Starks,1991,25.0,1173,61,17.7,33.3,15.1,-0.023,4.6,6.9,102.0,0.096,-0.8,0.5,4.5,0.75,0.28,-3.5,-3.8,0.3,1.2,15.4,7.6,3.1,2.1,1,1994.0,3.0
583,John Stockton,1985,22.0,1490,82,10.2,29.3,10.5,0.005,4.4,7.0,77.0,0.157,-1.2,0.0,5.9,0.74,0.03,-4.7,-8.0,-1.5,1.1,10.7,5.1,4.3,1.2,1,1989.0,4.0
584,John Tresvant,1966,26.0,756,46,16.6,28.9,14.8,0.002,0.9,3.0,79.0,0.161,-0.4,-0.7,8.1,0.73,,2.0,8.6,-1.1,-1.4,17.2,7.0,1.3,3.5,0,,
585,John Wall,2011,20.0,2606,69,19.1,41.3,16.7,-0.047,7.3,7.1,101.0,0.12300000000000001,-1.0,0.7,7.7,0.77,0.24,-3.8,-1.9,0.2,0.1,17.1,16.6,8.6,4.5,1,2014.0,3.0
586,John Williams,1987,20.0,1773,78,16.9,28.5,14.6,-0.040999999999999995,1.8,5.6,76.0,0.11599999999999999,-0.7,-0.1,6.0,0.65,0.1,0.9,1.1,-0.1,1.3,14.8,8.7,2.2,4.5,0,,
587,John Williamson,1977,25.0,1055,30,23.2,36.1,19.8,0.006999999999999999,3.9,4.1,77.0,0.11,0.3,-0.4,5.4,0.78,,-4.8,-7.3,0.7,-0.2,45.3,40.2,5.5,4.7,0,,
588,Johnny Davis,1977,21.0,1451,79,16.3,28.4,14.5,-0.002,2.1,3.9,78.0,0.132,0.0,-0.1,6.4,0.79,,-1.9,-9.1,0.1,-0.4,16.2,7.6,1.8,1.4,0,,
589,Johnny Dawkins,1987,23.0,1682,81,21.4,36.6,17.6,-0.046,4.6,6.2,97.0,0.09300000000000001,-0.8,0.3,5.4,0.8,0.17,-3.2,-5.6,-0.6,-1.7,17.8,9.6,3.1,1.9,0,,
590,Johnny Egan,1962,23.0,696,58,16.8,29.2,13.4,-0.006,3.0,4.1,76.0,0.13,-0.5,-0.2,4.6,0.76,,-3.1,-6.6,-0.8,-1.7,15.7,4.5,1.6,0.8,0,,
591,Johnny Green,1960,26.0,1232,69,14.5,21.8,11.2,-0.013999999999999999,0.2,2.5,44.0,0.156,-0.3,-0.8,4.8,0.41,,2.8,7.4,-0.7,-1.4,13.6,6.3,0.8,4.5,1,1962.0,2.0
592,Johnny Moore,1981,22.0,1578,82,15.4,32.8,13.4,-0.027000000000000003,3.7,6.2,63.0,0.14,-0.7,0.4,5.1,0.61,0.02,-2.5,-4.2,-0.1,1.2,14.0,7.0,4.0,2.3,0,,
593,Johnny Newman,1987,23.0,630,59,20.7,29.4,16.5,-0.063,1.2,2.8,91.0,0.11900000000000001,-1.3,-1.1,5.7,0.87,0.03,-0.5,-7.5,-2.8,-4.2,16.8,4.6,0.4,1.1,0,,
594,Jon Barry,1993,23.0,552,47,18.6,31.9,14.0,-0.083,3.7,5.5,99.0,0.11900000000000001,-1.5,-0.2,4.4,0.67,0.33,-4.3,-6.6,-1.9,-1.7,14.2,4.2,1.3,0.9,0,,
595,Jon Koncak,1986,22.0,1695,82,14.7,23.1,14.5,-0.002,1.4,2.3,73.0,0.134,-0.1,-0.9,7.3,0.61,0.0,4.7,5.7,-0.8,0.0,14.9,8.2,0.6,5.7,0,,
596,Jon McGlocklin,1966,22.0,852,72,17.0,26.6,12.9,-0.024,1.9,4.3,78.0,0.126,-0.2,0.0,3.7,0.79,,-2.5,-4.9,-0.6,-1.5,15.0,4.4,1.2,1.1,1,1969.0,3.0
597,Jon Sundvold,1984,22.0,1284,73,18.3,32.1,14.3,-0.055,4.3,6.6,104.0,0.094,-0.9,0.4,2.7,0.89,0.15,-4.6,-7.4,-0.4,-2.1,14.6,6.8,3.0,1.3,0,,
598,Jonas Jerebko,2010,22.0,2232,80,14.6,20.1,13.5,0.002,0.3,2.4,107.0,0.099,-0.2,-1.2,4.3,0.71,0.28,4.6,1.8,0.3,0.2,13.8,9.9,0.8,6.2,0,,
599,Jonas Valanciunas,2013,20.0,1482,62,13.1,21.6,14.9,0.084,1.5,1.7,95.0,0.158,-0.2,-1.4,6.6,0.79,0.0,4.3,5.8,-0.1,-0.2,15.5,9.7,0.8,6.1,0,,
600,Jordan Crawford,2011,22.0,867,26,25.0,38.8,18.8,-0.079,4.7,6.0,119.0,0.10300000000000001,-1.6,0.0,4.6,0.89,0.24,-1.9,-6.1,-1.1,-2.7,18.9,11.9,2.9,2.5,0,,
601,Jordan Farmar,2007,20.0,1090,72,13.8,25.1,11.3,-0.026000000000000002,3.2,4.3,104.0,0.135,-1.2,-0.6,1.8,0.71,0.33,-3.0,-4.3,-1.1,-2.4,11.7,4.4,1.9,1.6,0,,
602,Jose Calderon,2006,24.0,1487,64,11.1,26.0,9.3,-0.04,3.8,7.0,94.0,0.139,-1.3,0.2,3.3,0.85,0.1,-3.1,-5.0,-0.2,-1.7,9.6,5.5,4.7,2.1,0,,
603,Josh Howard,2004,23.0,1589,67,17.2,25.0,14.0,-0.031,0.3,4.2,96.0,0.08800000000000001,0.1,-0.7,4.5,0.7,0.24,4.2,1.1,1.3,1.9,14.9,8.8,1.4,5.0,1,2007.0,3.0
604,Josh McRoberts,2010,22.0,524,42,13.8,21.8,12.7,0.006999999999999999,1.5,5.9,87.0,0.083,-0.7,-0.2,3.6,0.5,0.28,3.0,3.5,0.1,0.8,13.0,4.1,1.1,2.9,0,,
605,Josh Smith,2005,19.0,2050,74,15.4,25.2,13.7,-0.023,1.4,5.6,75.0,0.139,-1.0,-0.4,6.1,0.69,0.05,2.2,4.3,-0.4,-0.2,14.2,9.8,1.8,5.9,0,,
606,Jrue Holiday,2010,19.0,1767,73,15.4,31.4,13.1,-0.017,3.8,6.0,114.0,0.146,-1.1,-0.1,2.6,0.76,0.38,-1.6,-5.6,0.0,-0.7,13.4,8.3,4.1,2.6,1,2013.0,3.0
607,Juan Dixon,2003,24.0,647,42,22.8,32.6,17.0,-0.055,2.9,3.9,109.0,0.107,-1.2,-0.6,3.9,0.8,0.3,-3.3,-3.5,-1.2,-2.5,18.1,6.8,1.0,1.7,0,,
608,Jud Buechler,1991,22.0,859,74,12.7,18.6,9.8,-0.079,0.4,4.6,69.0,0.081,-1.1,-0.6,3.7,0.65,0.02,0.7,-3.3,-1.3,-1.7,10.0,3.0,0.6,1.8,0,,
609,Julius Erving,1977,26.0,2940,82,20.7,34.9,20.0,0.042,2.5,4.0,79.0,0.124,1.1,0.0,7.8,0.78,,0.5,2.6,1.8,2.5,22.4,20.7,3.4,7.4,1,1977.0,0.0
610,Junior Bridgeman,1976,22.0,1646,81,18.2,29.3,14.7,-0.019,1.3,4.2,81.0,0.13,-0.3,-0.3,4.5,0.8,,1.3,-2.8,-0.2,-0.5,16.6,8.5,1.9,3.2,0,,
611,Juwan Howard,1995,21.0,2348,65,20.1,30.7,17.9,-0.022000000000000002,2.4,4.0,72.0,0.11699999999999999,-0.4,-0.6,6.3,0.66,0.0,2.4,4.7,-0.1,-0.4,18.2,16.7,2.4,8.1,1,1996.0,1.0
612,K.C. Jones,1959,26.0,609,49,11.7,20.5,7.9,-0.07200000000000001,0.8,4.3,60.0,0.14400000000000002,-1.0,-0.3,4.2,0.6,,-3.0,-3.2,-1.4,-1.3,9.8,3.2,1.6,1.5,0,,
613,Kareem Abdul-Jabbar,1970,22.0,3534,82,21.2,35.7,20.9,0.040999999999999995,3.0,3.7,78.0,0.132,1.5,0.1,8.8,0.65,,2.8,5.8,2.0,3.8,23.1,24.0,3.5,10.8,1,1970.0,0.0
614,Karl Malone,1986,22.0,2475,81,19.1,32.6,17.0,-0.037000000000000005,2.4,3.5,52.0,0.159,-0.7,-0.6,7.6,0.48,0.0,1.3,10.1,-1.3,0.3,17.4,14.2,2.6,8.7,1,1988.0,2.0
615,Kawhi Leonard,2012,20.0,1534,64,13.6,19.1,12.8,0.046,0.3,2.9,115.0,0.079,0.5,-0.9,3.0,0.77,0.36,2.5,1.8,1.7,2.1,13.5,8.6,1.2,5.1,1,2016.0,4.0
616,Keith Askins,1992,24.0,843,59,12.0,17.8,9.6,-0.036000000000000004,0.3,3.4,105.0,0.152,-1.4,-1.1,2.2,0.7,0.33,1.9,-3.0,-0.9,-0.6,9.8,3.6,0.6,2.3,0,,
617,Keith Bogans,2004,23.0,1787,73,13.4,19.9,11.0,-0.017,0.3,3.5,98.0,0.11,-0.6,-0.9,3.0,0.63,0.36,0.9,-0.6,0.1,-1.6,11.8,7.2,1.4,4.1,0,,
618,Keith Erickson,1966,21.0,646,64,16.0,23.2,10.5,-0.09300000000000001,0.7,3.3,67.0,0.138,-1.0,-0.6,3.9,0.66,,-0.1,-0.3,-2.1,-2.8,12.3,3.1,0.6,1.5,0,,
619,Keith Van Horn,1998,22.0,2325,62,23.7,34.3,20.7,-0.008,1.8,3.1,125.0,0.10800000000000001,0.4,-0.7,6.9,0.85,0.3,0.3,0.4,1.2,1.4,21.7,20.2,1.7,6.4,0,,
620,Kelly Tripucka,1982,22.0,3077,82,19.2,32.4,19.9,0.032,2.3,3.4,84.0,0.13,0.5,-0.5,9.3,0.8,0.03,1.0,-5.2,0.8,0.4,20.5,20.1,2.9,5.1,1,1982.0,0.0
621,Kelvin Cato,1998,23.0,1007,74,12.1,18.7,11.2,-0.027999999999999997,0.6,2.5,83.0,0.12300000000000001,-0.8,-1.2,6.6,0.69,0.0,4.6,4.2,-1.3,0.9,11.7,4.0,0.3,3.3,0,,
622,Kemba Walker,2012,21.0,1792,66,22.6,39.8,17.6,-0.063,6.0,6.2,110.0,0.08800000000000001,-1.3,0.3,6.3,0.79,0.3,-3.5,-1.1,-1.1,-2.5,18.5,13.3,4.9,3.6,1,2017.0,5.0
623,Ken Norman,1988,23.0,1435,66,16.6,25.5,14.2,-0.043,1.6,3.1,52.0,0.134,-1.6,-1.1,5.6,0.51,0.0,0.6,-0.9,-2.3,-3.1,14.5,8.2,1.0,3.8,0,,
624,Kendall Gill,1991,22.0,1944,82,21.2,35.3,17.3,-0.04,3.7,6.0,85.0,0.11599999999999999,-0.9,0.1,4.6,0.84,0.03,-0.5,-3.9,-0.2,0.0,17.6,10.7,3.4,3.1,0,,
625,Kendrick Perkins,2005,20.0,548,60,11.2,19.7,10.5,-0.013999999999999999,0.7,3.3,77.0,0.203,-1.4,-1.2,5.4,0.64,0.0,5.8,11.4,-2.0,-0.4,10.9,2.5,0.4,2.7,0,,
626,Kenneth Faried,2012,22.0,1037,46,15.2,24.0,17.3,0.091,0.3,3.1,72.0,0.113,0.6,-1.1,8.1,0.67,0.0,11.1,8.3,2.4,2.6,18.2,10.9,0.9,7.5,0,,
627,Kenny Anderson,1992,21.0,1086,64,21.7,37.5,15.2,-0.10099999999999999,4.4,6.2,81.0,0.11699999999999999,-1.7,0.0,4.4,0.75,0.07,-3.0,-4.4,-1.5,-2.7,15.5,6.7,2.9,1.8,1,1994.0,2.0
628,Kenny Carr,1978,22.0,733,52,18.6,28.7,14.9,-0.039,1.2,1.4,70.0,0.192,-0.9,-1.2,5.2,0.65,0.0,1.3,7.3,-2.6,-2.4,16.3,7.6,0.6,4.6,0,,
629,Kenny Gattison,1987,22.0,1104,77,13.3,22.2,12.9,-0.015,0.9,2.0,69.0,0.171,-1.0,-1.3,7.3,0.63,0.0,2.3,5.0,-1.9,-2.1,13.1,4.9,0.4,3.3,0,,
630,Kenny Sears,1956,22.0,2069,70,16.0,26.1,14.7,0.057,0.8,2.8,83.0,0.149,0.9,-0.5,7.0,0.8,,-0.5,4.4,1.0,0.6,17.6,14.2,1.6,5.9,0,,
631,Kenny Smith,1988,22.0,2170,61,15.2,31.2,13.8,-0.001,4.7,6.9,95.0,0.128,-0.6,0.6,4.5,0.82,0.13,-4.6,-8.5,0.4,-0.6,14.1,13.0,6.2,2.1,0,,
632,Kenny Thomas,2000,22.0,1797,72,15.1,24.5,12.6,-0.046,0.4,3.8,99.0,0.131,-0.8,-0.9,5.9,0.66,0.25,3.6,3.5,-0.2,-0.5,13.3,8.3,1.5,5.7,0,,
633,Kent Benson,1978,23.0,1288,69,16.2,26.1,13.7,-0.018000000000000002,1.5,3.6,78.0,0.157,-0.9,-0.6,4.8,0.65,0.0,0.8,3.6,-1.5,0.4,0.0,0.0,0.0,0.0,0,,
634,Kenyon Martin,2001,23.0,2272,68,17.9,26.4,14.0,-0.046,1.9,3.7,70.0,0.121,-0.7,-0.7,4.4,0.63,0.01,1.1,4.6,-0.7,0.7,15.0,12.2,1.9,6.8,1,2004.0,3.0
636,Kerry Kittles,1997,22.0,3012,82,20.5,30.2,17.4,-0.013000000000000001,2.7,4.9,113.0,0.073,-0.1,-0.1,3.9,0.77,0.38,-2.6,-5.7,1.1,0.9,17.9,16.2,2.9,3.7,0,,
637,Kevin Duckworth,1987,22.0,753,51,13.8,23.5,14.0,0.009000000000000001,1.5,1.8,83.0,0.192,-0.8,-1.3,7.3,0.69,0.0,3.1,5.2,-1.8,-0.5,14.1,4.9,0.4,3.1,1,1989.0,2.0
638,Kevin Durant,2008,19.0,2768,80,24.6,37.8,21.9,-0.021,3.7,3.8,114.0,0.111,-0.6,-0.6,8.1,0.87,0.27,-2.5,-3.8,-0.5,-1.8,22.5,19.6,2.4,4.1,1,2010.0,2.0
639,Kevin Edwards,1989,23.0,2349,79,22.8,37.8,17.0,-0.077,3.8,5.0,84.0,0.135,-1.5,-0.3,4.0,0.75,0.1,-2.7,-4.6,-2.2,-3.1,17.3,13.2,4.0,3.2,0,,
640,Kevin Gamble,1990,24.0,990,71,14.9,25.4,13.4,-0.017,2.5,5.9,88.0,0.087,-0.4,0.1,5.3,0.79,0.07,-1.5,-6.2,0.2,-0.8,13.7,4.9,1.5,1.5,0,,
641,Kevin Garnett,1996,19.0,2293,80,16.5,24.0,14.0,-0.02,1.6,4.1,80.0,0.10400000000000001,-0.6,-0.6,3.3,0.71,0.08,3.0,3.1,0.0,0.6,14.3,10.3,1.7,6.0,1,1997.0,1.0
642,Kevin Grevey,1976,22.0,504,56,19.4,28.0,14.4,-0.064,1.1,3.3,91.0,0.11699999999999999,-0.7,-0.6,5.2,0.9,,-1.0,-6.7,-1.5,-1.9,16.5,3.7,0.5,1.0,0,,
643,Kevin Johnson,1988,21.0,1043,52,14.7,29.9,13.5,-0.011000000000000001,4.8,6.8,87.0,0.13,-0.6,0.6,5.3,0.82,0.04,-4.5,-4.2,-0.7,0.2,14.2,8.8,4.8,2.3,1,1990.0,2.0
644,Kevin Loughery,1963,22.0,845,57,18.8,30.4,12.9,-0.08,2.3,4.6,70.0,0.129,-1.1,-0.2,4.8,0.71,,-3.3,-5.5,-1.6,-2.1,14.8,5.5,1.7,1.1,0,,
645,Kevin Love,2009,20.0,2048,81,17.6,27.2,17.3,-0.006,0.6,3.7,93.0,0.11,-0.3,-0.9,8.6,0.79,0.03,9.8,12.6,0.5,-0.3,17.5,11.4,1.1,9.1,1,2011.0,2.0
647,Kevin McHale,1981,23.0,1645,82,19.3,26.9,17.8,0.022000000000000002,1.4,2.1,74.0,0.11900000000000001,0.5,-0.9,4.6,0.68,0.0,4.5,0.3,0.0,0.6,18.6,9.7,0.6,4.3,1,1984.0,3.0
648,Kevin Ollie,2001,28.0,764,51,11.4,24.2,10.1,-0.023,3.2,7.5,76.0,0.11599999999999999,-1.2,0.3,4.9,0.73,0.03,-3.6,-4.8,-0.6,-0.8,9.9,3.2,2.0,1.3,0,,
649,Kevin Porter,1973,22.0,1217,71,16.3,31.8,12.9,-0.022000000000000002,3.8,5.5,62.0,0.128,-0.7,0.1,3.7,0.61,,-4.9,-9.9,-0.3,0.2,14.9,6.1,2.9,0.8,0,,
650,Kevin Restani,1975,23.0,1755,76,11.5,17.9,8.2,-0.044000000000000004,0.5,4.5,78.0,0.165,-0.6,-0.3,1.3,0.71,,2.1,1.7,-1.0,-0.2,9.4,5.3,1.4,4.6,0,,
651,Kevin Seraphin,2011,21.0,635,58,11.8,17.2,9.3,-0.062,0.3,1.9,81.0,0.19699999999999998,-1.9,-1.6,2.5,0.71,0.0,8.6,-1.3,-2.5,-0.3,9.5,2.7,0.2,2.6,0,,
652,Kevin Willis,1985,22.0,1785,82,18.6,25.2,15.5,-0.046,1.3,1.8,74.0,0.111,-0.5,-1.1,4.9,0.66,0.02,4.4,7.5,-1.3,-2.0,15.8,9.0,0.4,6.3,1,1992.0,7.0
653,Keyon Dooling,2001,20.0,1237,76,15.7,32.7,14.6,-0.009000000000000001,4.9,5.9,103.0,0.125,-1.0,0.0,7.7,0.7,0.33,-4.8,-7.1,-0.4,-1.6,15.5,6.1,2.3,1.1,0,,
655,Kiki Vandeweghe,1981,22.0,1376,51,17.1,25.3,14.0,-0.05,1.4,3.9,86.0,0.107,-0.6,-0.5,5.1,0.82,0.0,-0.5,0.7,-0.7,-1.3,14.6,10.3,1.5,4.8,1,1983.0,2.0
656,Kirk Hinrich,2004,23.0,2706,76,15.8,33.3,13.2,-0.006,4.7,6.6,120.0,0.11699999999999999,-0.8,0.3,3.2,0.8,0.39,-4.0,-5.3,0.2,0.4,14.1,12.5,6.8,3.2,0,,
657,Klay Thompson,2012,21.0,1608,66,23.2,34.3,20.0,0.018000000000000002,4.1,4.3,127.0,0.096,0.1,-0.3,2.9,0.87,0.41,-3.7,-5.0,1.0,-0.2,21.1,13.6,2.2,2.4,1,2015.0,3.0
658,Kobe Bryant,1997,18.0,1103,71,20.2,35.5,19.3,0.008,3.1,3.0,118.0,0.149,-0.6,-0.9,7.9,0.82,0.37,-1.3,-5.1,-0.1,-1.0,19.9,7.6,1.2,1.8,1,1998.0,1.0
659,Kosta Koufos,2009,19.0,565,48,16.9,23.7,15.3,-0.004,1.7,2.3,85.0,0.10099999999999999,-0.3,-1.1,4.7,0.71,0.0,5.3,3.9,-0.8,-1.0,15.6,4.7,0.4,2.9,0,,
660,Kris Humphries,2005,19.0,873,67,17.9,26.9,13.0,-0.11,1.4,5.0,55.0,0.11900000000000001,-1.5,-0.5,6.3,0.44,0.07,4.4,3.8,-1.4,-2.1,13.5,4.4,0.7,2.9,0,,
661,Kurt Nimphius,1982,23.0,1085,63,13.3,20.7,11.3,-0.049,1.0,4.0,70.0,0.121,-0.7,-0.6,4.8,0.58,0.0,2.8,8.7,-1.1,-0.6,11.7,5.3,0.9,4.6,0,,
662,Kurt Rambis,1982,23.0,1131,64,9.4,17.0,9.1,-0.01,0.3,3.2,55.0,0.18899999999999997,-0.9,-0.9,4.8,0.5,0.0,5.0,8.1,-1.1,2.2,9.3,4.3,0.8,5.2,0,,
663,Kurt Thomas,1996,23.0,1655,74,17.4,25.2,15.9,-0.009000000000000001,1.4,2.2,72.0,0.12300000000000001,-0.5,-1.2,5.7,0.66,0.0,2.7,7.9,-1.1,0.4,16.3,9.1,0.6,5.8,0,,
664,Kwame Brown,2002,19.0,817,57,16.2,25.1,12.9,-0.07,1.4,4.7,81.0,0.11599999999999999,-1.0,-0.5,6.6,0.71,0.0,3.1,5.2,-1.4,-1.4,13.6,4.8,0.8,3.3,0,,
666,Kyle Lowry,2008,21.0,2089,82,14.3,29.2,14.3,-0.009000000000000001,4.5,4.7,94.0,0.106,-0.9,-0.3,8.4,0.7,0.24,-3.1,-3.4,-0.3,-0.7,14.7,9.4,3.5,2.9,1,2015.0,7.0
667,Kyle Macy,1981,23.0,1469,82,16.6,26.9,15.5,0.033,2.6,4.4,106.0,0.111,-0.2,-0.3,3.7,0.9,0.16,-3.3,-6.8,-0.2,-0.7,16.2,7.6,1.7,1.5,0,,
668,Kyrie Irving,2012,19.0,1558,51,25.2,48.5,23.9,0.039,9.4,6.2,127.0,0.111,0.2,0.6,6.6,0.87,0.4,-2.3,-3.4,2.2,1.2,25.1,20.3,6.0,3.8,1,2013.0,1.0
669,Lamar Odom,2000,20.0,2767,76,18.9,35.1,17.5,-0.002,3.5,5.6,109.0,0.13699999999999998,-0.6,-0.1,7.8,0.72,0.33,0.4,4.0,0.6,0.7,18.5,16.9,4.1,7.3,0,,
670,LaMarcus Aldridge,2007,21.0,1392,63,18.7,24.0,16.6,-0.008,1.0,1.2,82.0,0.071,-0.2,-1.5,4.5,0.72,0.0,7.2,0.7,-0.3,-1.1,17.1,9.4,0.4,5.1,1,2012.0,5.0
671,Lamond Murray,1995,21.0,2556,81,21.8,30.9,17.0,-0.071,1.4,3.5,106.0,0.10400000000000001,-1.1,-0.8,5.3,0.75,0.29,-0.6,-2.8,-1.2,-2.5,17.3,13.8,1.5,4.2,0,,
673,Lance Thomas,2012,23.0,630,42,10.9,16.5,10.7,0.013999999999999999,0.3,1.6,88.0,0.127,-1.1,-1.6,5.3,0.84,0.0,4.0,-0.3,-1.1,-2.4,11.3,4.5,0.3,3.2,0,,
674,LaPhonso Ellis,1993,22.0,2749,82,16.8,25.0,15.8,0.013000000000000001,0.8,3.5,83.0,0.10800000000000001,0.0,-0.8,5.5,0.75,0.02,4.1,4.6,0.4,1.3,16.1,13.6,1.6,8.3,0,,
675,Larry Bird,1980,23.0,2955,82,23.2,38.5,20.7,0.006999999999999999,3.8,5.5,127.0,0.109,0.6,0.8,5.7,0.84,0.33,1.6,10.3,2.3,4.7,21.7,20.5,4.1,9.9,1,1980.0,0.0
677,Larry Drew,1981,22.0,1581,76,14.5,28.7,11.3,-0.07,3.1,4.4,86.0,0.174,-1.5,-0.6,4.0,0.8,0.06,-5.0,-5.8,-2.8,-3.8,11.8,6.4,3.0,1.5,0,,
679,Larry Hughes,1999,20.0,988,50,22.7,35.4,18.7,-0.037000000000000005,1.2,4.3,84.0,0.105,-1.0,-0.6,8.3,0.71,0.14,3.6,-1.3,0.2,0.0,20.1,9.9,1.6,3.7,0,,
680,Larry Johnson,1992,22.0,3047,82,19.5,29.9,18.3,0.017,0.5,4.4,91.0,0.084,0.5,-0.4,6.3,0.83,0.03,4.6,7.3,2.0,1.7,18.6,17.6,3.1,9.8,1,1993.0,1.0
681,Larry Kenon,1977,24.0,2936,78,21.0,31.7,18.7,0.025,1.7,3.6,87.0,0.11800000000000001,1.1,-0.2,5.2,0.82,,3.6,7.1,1.7,1.4,21.2,20.5,2.7,9.7,1,1978.0,1.0
682,Larry Nance,1982,22.0,1186,80,17.7,27.9,16.1,0.005,1.8,3.2,70.0,0.151,-0.5,-0.8,4.8,0.64,0.0,2.5,1.3,-0.9,0.4,16.6,6.4,0.9,3.2,1,1985.0,3.0
683,Larry Siegfried,1965,25.0,996,72,16.3,27.5,13.3,-0.004,2.3,4.4,77.0,0.124,-0.3,-0.1,5.5,0.78,,-3.2,-5.8,-0.6,0.1,16.0,5.5,1.7,1.1,0,,
684,Larry Smith,1981,23.0,2578,82,11.0,18.0,10.9,0.006,0.2,2.7,64.0,0.15,-0.1,-0.8,5.6,0.59,0.0,11.6,11.2,0.9,0.8,11.4,9.3,1.0,11.8,0,,
685,Larry Steele,1972,22.0,1311,72,10.1,20.3,9.0,0.018000000000000002,0.8,5.1,71.0,0.184,-0.9,-0.4,3.2,0.72,,0.2,1.7,-1.1,-1.0,10.0,4.3,1.9,2.8,0,,
686,LaSalle Thompson,1983,21.0,987,71,13.1,22.3,13.1,0.02,0.5,1.7,78.0,0.198,-0.6,-1.3,6.3,0.65,0.0,7.9,13.2,-1.4,1.1,13.8,5.1,0.4,4.9,0,,
687,Latrell Sprewell,1993,22.0,2741,77,17.0,29.5,15.6,0.005,3.0,4.5,108.0,0.122,-0.3,-0.2,5.0,0.75,0.35,-3.2,-5.8,0.6,0.4,15.9,14.3,3.3,3.3,1,1994.0,1.0
688,Leandro Barbosa,2004,21.0,1500,70,16.2,28.5,14.3,0.037000000000000005,3.8,4.7,117.0,0.14400000000000002,-0.6,-0.5,2.1,0.77,0.39,-4.0,-6.7,-0.3,1.1,15.2,8.1,2.3,1.6,0,,
689,LeBron James,2004,19.0,3122,79,25.3,44.2,21.0,-0.027999999999999997,5.9,6.9,103.0,0.10400000000000001,-0.2,0.7,7.8,0.75,0.28,-2.2,-2.5,1.8,1.5,22.5,22.1,6.0,5.2,1,2005.0,1.0
690,Ledell Eackles,1989,22.0,1459,80,23.9,38.6,22.4,-0.018000000000000002,2.5,3.8,90.0,0.109,-0.5,-0.5,11.3,0.79,0.13,0.6,-7.2,-0.2,-2.3,22.9,10.7,1.3,2.1,0,,
691,Len Chappell,1963,22.0,1241,80,19.0,28.3,16.7,0.009000000000000001,1.0,2.3,68.0,0.129,0.5,-0.7,7.5,0.62,,3.3,6.6,0.0,-0.9,19.5,7.6,0.7,3.4,1,1964.0,1.0
692,Len Elmore,1978,25.0,1327,69,12.9,19.8,9.3,-0.096,0.3,4.3,80.0,0.121,-1.3,-0.6,4.4,0.67,0.0,3.5,7.5,-1.5,0.6,0.0,0.0,0.0,0.0,0,,
